ID{NUMERO TESSERA{DATA ISCRIZIONE{NOME{COGNOME{SESSO{DATA DI NASCITA{PROFESSIONE{INDIRIZZO{NUMERO CIVICO{LOCALITA{CAP{PROVINCIA{TELEFONO CASA{CELLULARE{EMAIL{SOSPESO{INTERNET{PRIVACY{TIPO DOCUMENTO{NUMERO DOCUMENTO{NOTE{TUTORE{DECEDUTO{DATA MODIFICA{ID SOG MODIFICA{ID SOSPESO{ID ISCRITTO{DATA SOPSENSIONE{DATA RIAMMISSIONE{MOTIVAZIONE{DATA MODIFICA{ID SOG MODIFICA{ID TUTORE{ID ISCRITTO{TIPO DOCUMENTO{NUMERO DOCUMENTO{NOME{COGNOME{SESSO{INDIRIZZO{NUMERO CIVICO{LOCALITA{CAP{PROVINCIA{TEL CASA{TEL CELL{EMAIL{DATA MODOFICA{ID SOG MODIFICA
1{1{1986-07-11 00:00:00{Renato{Bevilacqua{M{1990-03-29{Studente{Via degli Orti{4{FRASSINO{46100{MN{0376370001{{{N{N{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
2{2{1986-07-11 00:00:00{Rita{Montalcini{F{1969-01-28{Insegnante{Via degli Orti, 4{{FRASSINO{46100{MN{0376370002{{{N{N{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
3{3{1981-01-22 00:00:00{Rosaria{Lanfranchi{F{1969-04-18{Farmacista{Viale Lombardia, 10{{LUNETTA{46100{MN{0376370003{{{N{N{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
4{4{1981-01-22 00:00:00{Teodoro{Giramonti{M{1956-03-02{Pensionato{Via Cadore, 16{{LUNETTA{46100{MN{0376370004{{{N{N{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
5{5{1988-07-11 00:00:00{Sara{Righetti{F{1989-08-22{Studente{Via Filippo Juvara, 38{{LUNETTA{46100{MN{0376370005{{{N{Y{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
6{6{1980-09-04 00:00:00{Maria{Pia{F{2005-05-04{Impiegata{Via Cadore{6{LUNETTA{46100{MN{{{{N{N{N{0{{{N{N{2017-07-21 15:53:11{2{{{{{{{{{{{{{{{{{{{{{{{{
7{7{1981-01-22 00:00:00{Filippa{Lumare{F{1950-03-09{Pensionata{Via Cadore,10{{LUNETTA{46100{MN{{{{N{N{Y{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
8{8{1986-07-14 00:00:00{Giorgia{Sganzerla{F{1979-03-02{Casalinga{Viale Toscana, 2{{LUNETTA{46100{MN{0376370006{{{N{N{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
9{9{1986-09-04 00:00:00{Federica{Rinoceronte{F{1966-03-10{Casalinga{Via Cadore,35{{LUNETTA{46100{MN{0376370007{{{N{N{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
10{10{1986-07-16 15:04:26{Bruna{Volano{F{1988-01-24{Studente{Viale Lombardia{58{LUNETTA{46100{MN{0376370008{{{N{N{N{{{Corneliani{N{N{2017-07-21 15:53:11{2{{{{{{{{{{{{{{{{{{{{{{{{
11{11{1981-01-22 00:00:00{Giacomo{Barbieri{M{1970-03-28{Studente{Viale Lombardia, 18{{LUNETTA{46100{MN{{{{N{N{N{{{{N{N{2017-07-21 15:53:11{0{{{{{{{{{{{{{{{{{{{{{{{{
